Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
backrefs,5,17,3018795246,[f-i]r|ba|[a-s][a-u][a-o][tuv][e-y]|[i-l]$,16,37,418168,-25892,34939,false
glob,5,24,1764028593,g[a-s]y|[a-o]|b[a-h]r|o[o-y][a-s]|fa|[a-k][cde]$,16,37,288086,-20267,42815,false
backrefs,5,18,1736058429,^[a-i][a-l]|nas|[a-u][a-t][a-t][tuv],14,35,476973,-23298,34049,false
glob,5,25,3857069214,[bcd][o-y][a-h][a-t]w||r[h-s]|[a-k][cde]$,16,37,172891,-10110,37861,false
backrefs,5,19,6087432195,[e-u][pqr][h-r]|av|[tuv][e-h][a-t]|[g-n]$,14,35,468636,-25111,37721,false
glob,5,26,9125784630,[a-e][a-h]r|f|[ -u][op][c-y][c-o][ -r],15,36,390557,-23626,40455,false
backrefs,5,20,4925731068,^[tu]|yh|[e-h][a-t][a-t][a-o][g-t]|[tuv][stu]|fr|[g-n]$,16,37,364665,-27455,53409,false
glob,5,27,7914823056,[c-y][c-y][^m]([e-i]a|y|\*)[ -s]|[cd]$\1,19,40,317966,-22954,56909,false
backrefs,5,21,3486027915,[l-t][e-h]|wrd[a-t][a-t][tuv]f|[l-u][a-y]$,12,33,382861,-22486,42236,false
glob,5,28,1258360497,fa|w|b|dps| [o-y][c-u]|[cde]$,13,34,285912,-15391,44080,false
backrefs,5,22,6941372580,n[^]cr|i[abc]a|[abc][lm][a-t][e-t]|[tuv][e-y][d-t][c-u],17,38,485863,-30548,41830,false
backrefs,5,23,1068243795,[c-u][e-u][l-t][e-h]|[i-r][l-u][a-y]$,15,36,185184,-8766,32642,false
glob,5,29,7965023841,a^t|l[^]w|e[m-s]?[a-e][a-h]r|fa|[op][c-y][c-s][c-r],18,39,512610,-34220,47471,false
backrefs,5,24,1764028593,^e|hv[ab]t|[e-u][c-t][a-t][tuv]|l[n-r]|a$,16,37,233217,-13063,49737,false
balance,5,1,4105328976,<[<=>]>[<=>]<?[^<]><<[<=>],24,56,317014,-30673,61972,true
backrefs,5,25,3857069214,[e-u][a-i][lmn][a-t]|[a-f][uv]|[e-t][a-t][a-u][g-x]$,15,36,439190,-28048,47002,false
balance,5,1,6370951248,^<<<?[<=>]<>|>>>$,23,55,300805,-56065,60098,true
backrefs,5,26,9125784630,[tu][a-t][rst][n-u]|[a-t][a-o][tuv][n-y]|[g-n]$,14,35,195318,-12282,34533,false
backrefs,5,27,7914823056,[c-t][e-t][a-o][tuv]|[g-l]$,15,36,147429,-7500,32642,false
balance,5,2,9431657082,[^>]<[<=>](>>(>)([<=>])<|>(>|)\1[<=>]$\1)\4<[<=>],25,57,408804,-57268,60379,true
backrefs,5,28,1258360497,z^m[o-u]t|[e-t][o-u][e-h]|us|[e-h][a-t][a-t]a|[tuv][t-y]|[g-n]$,17,38,540409,-43533,53159,false
balance,5,3,1874029365,[^](>)[<=>][<=>][<=>]<>?<<[<=>]\1\1[<=>],24,56,141500,-20657,62128,true
backrefs,5,29,7965023841,[l-t][e-h]|f[a-o][tuv]f|[l-u][a-y]$,12,33,411469,-22111,31517,false
abba,5,1,4105328976,[^male][t-z],15,37,539744,-16345,18438,false
abba,5,1,6370951248,[^c](h|z|u)|b[f-t]n|d[t-z]e|it|yt\1,20,42,529097,-20407,28830,false
balance,5,4,5691784320,<<[<=>][<=>]?[^]>>[<=>][<=>](<|<$)[<=>]>|\2[<=>],25,57,78646,-13954,61097,true
abba,5,2,9431657082,[f-t]\1([t-z]|h),14,36,590330,-18220,18860,false
abba,5,3,1874029365,[^c](h|z|u)|^p|^v|fuf\1,18,40,122044,-6610,24283,false
balance,5,5,8392760514,^<<?(<)<\1>|>>>$,23,55,152607,-22689,60066,true
abba,5,4,5691784320,[^c](h|z|u)|^p|^v|aex\1,18,40,106992,-5547,25970,false
abba,5,5,8392760514,[u-y][i-t]|z|u|t$,14,36,506458,-15954,20329,false
abba,5,6,4612780539,[^c](h|z|u)|bp[f-t]t|$\1,17,39,399479,-14032,21392,false
balance,5,6,4612780539,^<?<<[<=>]<>|>>>$,23,55,63158,-9547,61348,true
abba,5,7,8261384957,[u-y][i-t]|z|u,13,35,491033,-15095,18923,false
abba,5,8,2463075891,st|z|u|[t-z]h|[c-i]t,17,39,159796,-6016,25048,false
balance,5,7,8261384957,[<=>]<<(^<|>[<=>]>[<=>]<)<?[<=>]>[<=>],25,57,197547,-27064,60051,true
abba,5,9,9135874206,[a-s][a-t][a-s][c-i][t-z]|[u-y][o-t],18,40,262749,-9626,22939,false
abba,5,10,7095231486,[a-t]hv|i|[a-t][u-y][f-t]|z,17,39,540995,-19204,22282,false
abba,5,11,9842301657,[^c](h|z|u)|it|guc$\1,18,40,77557,-4282,26423,false
balance,5,8,2463075891,<<[<=>]>(>)\1[<=>]<<[<=>],25,57,355788,-40877,60066,true
abba,5,12,2196735084,[f-t][tu]z||[t-z]e|m[n-t],16,38,246938,-8094,27048,false
balance,5,9,9135874206,(<<)[<=>][^<]>(^><|>)[<=>]\1[<=>],25,57,72016,-7969,60066,true
abba,5,13,9067852413,v|z|u^nb[t-z]p|[mno][i-n][c-t]|u[o-t]|t[a-h][i-t],18,40,508068,-24564,35877,false
abba,5,14,2405681973,z|u|[i-t]h|[n-t][f-t]t[a-i]|[t-z]$,18,40,249962,-9001,30861,false
abba,5,15,2738495106,[^a][tuv]|z,15,37,254755,-8610,18958,false
balance,5,10,7095231486,<<[<=>]>[^<]>[<=>]<<[<=>],25,57,179307,-21110,60453,true
abba,5,16,1069782534,[^c](h|z|u)|vi|p[f-t]s|i[t-z]$\1,19,41,417397,-26082,43467,false
balance,5,11,9842301657,^<>$|>>$,22,54,89653,-8412,60081,true
